ProductID,Handle,SKU,Existing,Incoming
gid://shopify/Product/8043116232778,humboldt-honey-hydro-carbs,hmh00432,DRAFT,ACTIVE
gid://shopify/Product/8043115806794,humboldt-honey-es,hmh00434,DRAFT,ACTIVE
gid://shopify/Product/8043116003402,humboldt-honey-es,hmh00435,DRAFT,ACTIVE
gid://shopify/Product/8043115872330,humboldt-honey-es,hmh00437,DRAFT,ACTIVE
gid://shopify/Product/8043117019210,humboldt-roots,hmh00438,DRAFT,ACTIVE
gid://shopify/Product/8043118493770,humboldt-roots,hmh00439,DRAFT,ACTIVE
gid://shopify/Product/8043118526538,humboldt-roots,hmh00440,DRAFT,ACTIVE
gid://shopify/Product/8043118329930,humboldt-roots,hmh00441,DRAFT,ACTIVE
gid://shopify/Product/8043116625994,humboldt-sticky-foliar-feed,hmh00442,DRAFT,ACTIVE
gid://shopify/Product/8043117674570,humboldt-sticky-foliar-feed,hmh00443,DRAFT,ACTIVE
gid://shopify/Product/8043104272458,calcarb-calcium-carbonate-foliar-spray,hmh00459,DRAFT,ACTIVE
gid://shopify/Product/8043104075850,calcarb-calcium-carbonate-foliar-spray,hmh00460,DRAFT,ACTIVE
gid://shopify/Product/8043096637514,ultragrow-cool-tube-bundle,hmh00519,DRAFT,ACTIVE
gid://shopify/Product/8043096735818,ultragrow-cool-tube-bundle,hmh00518,DRAFT,ACTIVE
gid://shopify/Product/8043123179594,ona-liquid,hmh01108,DRAFT,ACTIVE
gid://shopify/Product/8043123310666,ona-liquid,hmh01109,DRAFT,ACTIVE
gid://shopify/Product/8043123441738,ona-gel,hmh01110,DRAFT,ACTIVE
gid://shopify/Product/8043123671114,ona-gel,hmh01111,DRAFT,ACTIVE
gid://shopify/Product/8043123638346,ona-gel,hmh01113,DRAFT,ACTIVE
gid://shopify/Product/8043124162634,ona-gel,hmh01114,DRAFT,ACTIVE
gid://shopify/Product/8043124850762,plantacillin,hmh00553,DRAFT,ACTIVE
gid://shopify/Product/8043134779466,timemist-plus-programmable-dispenser,hmh00558,DRAFT,ACTIVE
gid://shopify/Product/8043115282506,safer-garden-fungicide-32oz-rtu-spray,hmh00563,DRAFT,ACTIVE
gid://shopify/Product/8043113840714,safer-garden-fungicide-32oz-rtu-spray,hmh00564,DRAFT,ACTIVE
gid://shopify/Product/8043102535754,block-ir-infra-red-barrier,hmh00920,DRAFT,ACTIVE
gid://shopify/Product/8043103486026,block-ir-infra-red-barrier,hmh00921,DRAFT,ACTIVE
gid://shopify/Product/8043103846474,block-ir-infra-red-barrier,hmh00922,DRAFT,ACTIVE
gid://shopify/Product/8043100045386,bcuzz-roxx-bimatrix-growing-slabs,hmh00475,DRAFT,ACTIVE
gid://shopify/Product/8043100307530,bcuzz-roxx-bimatrix-growing-slabs,hmh00477,DRAFT,ACTIVE
gid://shopify/Product/8043120328778,mag-drive-pumps,hmh00915,DRAFT,ACTIVE
gid://shopify/Product/8043120394314,mag-drive-pumps,hmh00916,DRAFT,ACTIVE
gid://shopify/Product/8043120558154,mag-drive-pumps,hmh00917,DRAFT,ACTIVE
gid://shopify/Product/8043092115530,reflective-mylar-rolls,hmh00923,DRAFT,ACTIVE
gid://shopify/Product/8043092869194,reflective-mylar-rolls,hmh01297,DRAFT,ACTIVE
gid://shopify/Product/8043092082762,reflective-mylar-rolls,hmh00924,DRAFT,ACTIVE
